"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","85","0.9083044982698962","239","40.57322175732217","-5.013840830449827","4.451557093425605","76.54368997914028","0.3276730205113028"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","86","0.9134948096885813","239","40.07531380753138","-4.865051903114187","4.373702422145329","75.30108014548334","0.36267977365495246"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","87","0.9117647058823529","239","39.90794979079498","-5.21280276816609","4.467128027681661","68.93291802859875","0.3400827560660295"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","88","0.9083044982698962","239","40.21757322175732","-5.0899653979238755","4.491349480968858","80.32511192522261","0.33463449795859496"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","89","0.9204152249134948","239","40.81589958158996","-4.922145328719723","4.420415224913495","80.33538721958688","0.3667058634830272"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","90","0.9100346020761245","239","40.19665271966527","-5.695501730103806","4.617647058823529","76.23389640755572","0.34804593428108643"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","91","0.916955017301038","239","40.30125523012552","-5.522491349480969","4.600346020761246","68.59503048694546","0.3208624375168426"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","92","0.8996539792387543","239","40.16317991631799","-5.875432525951557","4.660899653979238","69.55787250540672","0.3264605799155115"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","93","0.9221453287197232","239","40.1255230125523","-4.946366782006921","4.448096885813149","68.86137534551023","0.3105126417519065"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","94","0.9186851211072664","239","40.74476987447699","-4.947231833910035","4.448096885813149","79.4967111772123","0.40341268795566126"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","95","0.9290657439446367","239","40.22175732217573","-4.764705882352941","4.43598615916955","80.78899746902542","0.3593197722614189"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","96","0.8944636678200693","239","40.11715481171548","-5.987024221453288","4.673010380622838","72.52590345215334","0.3512809942763641"
